customer_id,Country_Code,Phone_Number,Full_Phone,Fraud_Label,Customer_Vintage_Bucket,customer_risk_rating,Customer_Segment,Occupation_Type,Avg_Monthly_Txn_Value,KYC_Update_Freq,PEP_HighRisk_Flag,Txn_Count_1H,Txn_Frequency_Day_vs_Mean,RoundAmt_Repetitiveness_Percent,SameDay_CreditReversal_Count_7D,KYC_Country,KYC_City,Geo_Restriction_Level,Restricted_Geo_Location
CUST00000001,+49,89731818772,+4989731818772,0,Mature,1,Retail,Salaried,195804.13,2,0,0,0.21,24.1,0,Germany,Frankfurt,Normal,0
CUST00000002,+91,7524967619,+917524967619,0,New,1,Retail,Student,537620.54,0,0,1,0.55,35.6,0,India,Bangalore,Normal,0
CUST00000003,+91,9351926879,+919351926879,0,Mature,1,Retail,Salaried,207874.4,0,0,1,0.87,8.8,0,India,Delhi,Normal,0
CUST00000004,+91,6705104868,+916705104868,0,Mature,1,Retail,Salaried,175911.13,0,0,0,1.35,32.2,2,India,Chennai,Normal,0
CUST00000005,+91,8717528652,+918717528652,0,Mature,2,Retail,Self-Employed,69454.63,0,0,2,1.57,42.5,0,India,Hyderabad,Normal,0
CUST00000006,+91,9798559306,+919798559306,0,New,1,Retail,Salaried,51428.94,1,0,3,0.84,2.6,0,India,Hyderabad,Normal,0
CUST00000007,+92,5763817163,+925763817163,1,Mid,2,Retail,Salaried,10000000.0,4,0,5,5.37,60.2,3,Pakistan,Lahore,Watchlist,1
CUST00000008,+91,9885205347,+919885205347,0,Mature,1,Retail,Salaried,184557.54,0,0,0,0.7,26.0,1,India,Chennai,Normal,0
CUST00000009,+91,6204058005,+916204058005,0,New,2,Retail,Self-Employed,406688.84,0,0,2,0.85,37.1,0,India,Kolkata,Normal,0
CUST00000010,+91,6762290163,+916762290163,1,New,1,Retail,Retired,1328297.83,2,0,40,2.92,48.4,0,India,Mumbai,Normal,0
CUST00000011,+971,563652294,+971563652294,0,Mid,1,Retail,Salaried,159470.1,0,0,1,1.74,5.7,0,UAE,Sharjah,Normal,0
CUST00000012,+91,6998472569,+916998472569,0,Mature,1,Retail,Self-Employed,237283.24,2,0,1,0.72,60.1,0,India,Mumbai,Normal,0
CUST00000013,+44,2882047236,+442882047236,0,Mature,1,Retail,Salaried,147716.67,0,0,0,1.07,20.1,0,UK,Birmingham,Normal,0
CUST00000014,+91,9265420795,+919265420795,0,Mature,1,Retail,Student,482773.38,0,1,4,0.7,39.1,0,India,Kolkata,Normal,0
CUST00000015,+91,7473691843,+917473691843,0,Mid,2,Retail,Self-Employed,25813.97,0,0,3,0.3,30.9,0,India,Kolkata,Normal,0
CUST00000016,+971,452063602,+971452063602,0,Mid,1,Retail,Salaried,482663.64,0,0,1,1.47,40.7,0,UAE,Sharjah,Normal,0
CUST00000017,+971,299805006,+971299805006,1,Mature,1,Retail,Student,129329.51,0,0,17,1.08,88.1,3,UAE,Abu Dhabi,Normal,0
CUST00000018,+91,8063712109,+918063712109,0,Mature,2,Retail,Salaried,129775.44,0,0,0,1.09,15.6,0,India,Hyderabad,Normal,0
CUST00000019,+91,8934274080,+918934274080,0,Mature,1,Retail,Self-Employed,181087.74,0,0,0,0.99,6.7,0,India,Chennai,Normal,0
CUST00000020,+91,7223423083,+917223423083,0,Mature,1,Retail,Salaried,93135.78,0,0,0,0.1,11.1,1,India,Delhi,Normal,0
CUST00000021,+49,81238844036,+4981238844036,0,Mid,2,Retail,Student,149950.11,0,0,0,0.99,73.3,0,Germany,Berlin,Normal,0
CUST00000022,+49,87195961716,+4987195961716,0,Mature,1,Retail,Salaried,131358.64,0,0,0,0.26,56.4,1,Germany,Berlin,Normal,0
CUST00000023,+91,9298198933,+919298198933,0,Mid,2,Retail,Salaried,262060.7,0,0,0,0.36,12.0,0,India,Chennai,Normal,0
CUST00000024,+44,9574097515,+449574097515,0,Mid,2,Retail,Salaried,364871.47,1,0,7,0.23,36.0,0,UK,London,Normal,0
CUST00000025,+44,4703222135,+444703222135,0,Mature,2,Retail,Salaried,235947.85,0,0,1,0.44,15.7,0,UK,Birmingham,Normal,0
CUST00000026,+91,8011082649,+918011082649,0,New,2,Retail,Self-Employed,329143.36,0,0,1,1.25,23.0,0,India,Kolkata,Normal,0
CUST00000027,+65,31061625,+6531061625,0,New,1,Retail,Salaried,231577.97,0,0,1,0.49,24.3,0,Singapore,Singapore,Normal,0
CUST00000028,+1,2086346353,+12086346353,0,Mid,1,Retail,Salaried,513806.56,0,0,1,0.04,3.3,0,USA,Los Angeles,Normal,0
CUST00000029,+91,6147330396,+916147330396,0,Mid,3,Retail,Retired,883209.33,0,0,0,0.06,10.9,0,India,Kolkata,Normal,0
CUST00000030,+91,8161705051,+918161705051,0,Mature,1,Retail,Salaried,28085.07,0,0,0,0.8,14.0,0,India,Bangalore,Normal,0
CUST00000031,+91,7490472131,+917490472131,1,New,1,Retail,Salaried,8289861.95,0,1,0,3.58,45.5,2,India,Delhi,Normal,0
CUST00000032,+44,9501856332,+449501856332,0,New,2,Retail,Self-Employed,230645.9,0,0,0,0.34,34.0,1,UK,Manchester,Normal,0
CUST00000033,+44,3898646236,+443898646236,0,New,1,Retail,Salaried,245017.32,0,0,0,0.02,23.4,0,UK,Manchester,Normal,0
CUST00000034,+44,7792265920,+447792265920,0,New,1,Retail,Salaried,323433.53,0,0,6,0.15,27.8,0,UK,Manchester,Normal,0
CUST00000035,+91,8749491751,+918749491751,0,New,1,Retail,Self-Employed,190851.64,1,0,0,1.28,24.8,0,India,Mumbai,Normal,0
CUST00000036,+971,275592528,+971275592528,0,Mature,1,Retail,Salaried,198014.47,0,0,0,0.12,28.4,0,UAE,Sharjah,Normal,0
CUST00000037,+91,8096118868,+918096118868,0,Mid,1,Corporate,Self-Employed,261638.0,0,0,0,0.45,21.8,0,India,Mumbai,Normal,0
CUST00000038,+92,4308622073,+924308622073,1,Mature,3,Retail,Student,225575.03,3,1,30,0.99,38.3,6,Pakistan,Islamabad,Watchlist,1
